Berufsbezeichnung,Datum,In_Neuordnung,Ministerium,Anzahl
Produktionstechnologe/-in,2009-12-04T00:00:00Z,Nein,BMWK,108
Produktprüfer/-in-Textil,2007-05-07T00:00:00Z,Nein,BMWK,2
Produktveredler/-in – Textil,2005-09-19T00:00:00Z,Nein,BMWK,22
Prüftechnologe/ in Keramik,2017-11-23T00:00:00Z,Nein,BMWK,14
Raumausstatter/-in,2005-05-09T00:00:00Z,Nein,BMWK,582
Rohrleitungsbauer/-in,2009-02-20T00:00:00Z,Ja,BMWK,274
Rollladen- und Sonnenschutzmechatroniker/-in,2016-04-28T00:00:00Z,Nein,BMWK,190
Sattler/-in,2011-02-14T00:00:00Z,Nein,BMWK,135
Schädlingsbekämpfer/-in,2004-07-15T00:00:00Z,Nein,BMWK,54
Schifffahrtskaufmann/-frau,2004-07-22T00:00:00Z,Nein,BMWK,201
Schilder- und Lichtreklamehersteller/-in,2012-03-26T00:00:00Z,Nein,BMWK,297
Schornsteinfeger/-in,2012-06-20T00:00:00Z,Ja,BMWK,702
Schuhfertiger/-in,2017-02-28T00:00:00Z,Nein,BMWK,18
Segelmacher/-in,2010-05-05T00:00:00Z,Nein,BMWK,15
Seiler/-in,2008-05-22T00:00:00Z,Nein,BMWK,9
Servicefachkraft für Dialogmarketing,2006-05-23T00:00:00Z,Nein,BMWK,134
Servicefahrer/-in,2005-05-22T00:00:00Z,Nein,BMWK,32
Servicekaufmann/-frau im Luftverkehr,2017-03-29T00:00:00Z,Nein,BMWK,52
Servicekraft für Schutz und Sicherheit,2008-05-21T00:00:00Z,Nein,BMWK,218
Silberschmied/-in,1992-04-02T00:00:00Z,Ja,BMWK,3
Spezialtiefbauer/-in,2009-02-20T00:00:00Z,Ja,BMWK,38
Spielzeughersteller/-in,1997-06-10T00:00:00Z,Nein,BMWK,3
Sport- und Fitnesskaufmann/-frau,2007-07-04T00:00:00Z,Nein,BMWK,1072
Sportfachmann/-frau,2007-07-04T00:00:00Z,Nein,BMWK,16
Stanz- und Umformmechaniker/-in,2013-04-02T00:00:00Z,Nein,BMWK,63
Steinmetz/-in und Steinbildhauer/-in,2018-04-13T00:00:00Z,Nein,BMWK,334
Straßenbauer/-in,2009-02-20T00:00:00Z,Ja,BMWK,1599
Straßenwärter/-in,2007-05-04T00:00:00Z,Nein,BMWK,802
Stukkateur/-in,2009-02-20T00:00:00Z,Ja,BMWK,414
Süßwarentechnologe/-in,2014-04-29T00:00:00Z,Nein,BMWK,82
Tankwart/-in,1952-08-18T00:00:00Z,Nein,BMWK,9
Technischer/-e Konfektionär/-in,2010-05-04T00:00:00Z,Nein,BMWK,24
Technischer/-e Modellbauer/-in,2009-08-19T00:00:00Z,Nein,BMWK,134
Technischer/-e Produktdesigner/-in,2011-06-21T00:00:00Z,Nein,BMWK,2090
Technischer/-e Systemplaner/-in,2014-10-17T00:00:00Z,Nein,BMWK,1372
Textilgestalter/-in im Handwerk,2011-07-25T00:00:00Z,Nein,BMWK,2
Textillaborant/-in,2003-06-24T00:00:00Z,Nein,BMWK,40
Textilreiniger/-in,2002-06-17T00:00:00Z,Nein,BMWK,58
Textil- und Modenäher/-in,2021-01-11T00:00:00Z,Nein,BMWK,82
Textil- und Modeschneider/-in,2015-07-02T00:00:00Z,Nein,BMWK,40
Thermometermacher/-in,1986-05-27T00:00:00Z,Nein,BMWK,0
Tiefbaufacharbeiter/-in,1999-06-02T00:00:00Z,Ja,BMWK,1923
Tierpfleger/-in,2003-07-03T00:00:00Z,Nein,BMWK,700
Tischler/-in,2006-01-25T00:00:00Z,Nein,BMWK,7952
Tourismuskaufmann/-frau (Kaufmann/-frau für Privat- und Geschäftsreisen),2011-05-19T00:00:00Z,Nein,BMWK,994
Trockenbaumonteur/-in,2009-02-20T00:00:00Z,Ja,BMWK,198
Uhrmacher/-in,2001-11-20T00:00:00Z,Nein,BMWK,94
Umwelttechnologe/in für Abwasserbewirtschaftung,2023-12-20T00:00:00Z,Nein,BMWK,378
Umwelttechnologe/in für Kreislauf- und Abfallwirtschaft,2023-12-20T00:00:00Z,Nein,BMWK,170
Umwelttechnologe/in für Rohrleitungsnetze und Industrieanlagen,2023-12-20T00:00:00Z,Nein,BMWK,220
Umwelttechnologe/in für Wasserversorgung,2023-12-20T00:00:00Z,Nein,BMWK,207
Veranstaltungskaufmann/-frau,2016-05-24T00:00:00Z,Nein,BMWK,1642
Verfahrensmechaniker/-in für Beschichtungstechnik,1999-07-12T00:00:00Z,Nein,BMWK,261
Verfahrensmechaniker/-in für Brillenoptik,2002-07-18T00:00:00Z,Nein,BMWK,10
Verfahrensmechaniker/-in Glastechnik,2000-06-19T00:00:00Z,Nein,BMWK,94
Verfahrensmechaniker/-in in der Steine- und Erdenindustrie,2004-02-09T00:00:00Z,Nein,BMWK,75
