Geografische Koordinaten;ID;Spielgerätename;Spielgeräteart;Stadtbezirk Nr.;Stadtbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Unterbezirk Nr.;Unterbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum
51.5140328231, 7.5100564549;2498;Bolzplatztor 2;Bolzplatztore;30;Innenstadt-Ost;070;Kaiserbrunnen;073;Körne;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5240182962, 7.3645066482;1502;Sandspielgerät 2;Sandspielgeräte;8;Huckarde;840;Kirchlinde;841;Kirchlinde-Alt;112;Rahm/Kirchlinde;;
51.4903139854, 7.5002000601;1507;Trampolin;Sprunggeräte;5;Hörde;530;Hörde;532;Hörde;082;Hörde;082;Hörde
51.5223274645, 7.5446533408;1511;3er-Reck mit Kletternetz;Reckstangen;3;Brackel;320;Brackel;326;Knappschaftskrankenhaus;062;Brackel;;
51.5265658849, 7.4590154208;1512;Basketballkorb 2;Ballsportanlagen;20;Innenstadt-Nord;050;Nordmarkt;053;Nordmarkt-West;022;Nordmarkt;022;Nordmarkt
51.5027556098, 7.4781272393;1514;Sandspiel mit Sandaufzug;Sandspielgeräte;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.551089118, 7.4658343286;1516;Balanciergerät;Balanciergeräte;1;Eving;120;Eving;122;Eving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen
51.5259841822, 7.3733808501;1520;Klettergeräte;Klettergeräte;8;Huckarde;840;Kirchlinde;841;Kirchlinde-Alt;112;Rahm/Kirchlinde;;
51.5805264789, 7.4621801964;1521;Mattenschwinger;Gurtsteg / Mattenschwinger;1;Eving;110;Brechten;111;Brechten-Nord;041;Brechten/Holthausen;;
51.565097828, 7.3657083698;1522;Basketballplatz;Ballsportanlagen;9;Mengede;940;Oestrich;940;Oestrich;122;Mengede/Oestrich/Schwieringhausen;;
51.5261843824, 7.3739075374;1523;Balanciergeräte;Balanciergeräte;8;Huckarde;840;Kirchlinde;841;Kirchlinde-Alt;112;Rahm/Kirchlinde;;
51.5192104117, 7.4448396638;1530;Wippe Schiff;Wippen;20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen
51.4990739229, 7.3279312491;1531;Schaukeln / Nestschaukeln;Schaukeln / Nestschaukeln;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;
51.5067285857, 7.5258481595;1537;Bolzplatztor West;Bolzplatztore;3;Brackel;330;Wambel;333;Pferderennbahn;063;Wambel;;
51.4487371772, 7.523244871;1552;Doppelschaukel;Schaukeln / Nestschaukeln;5;Hörde;540;Holzen;542;Holzen;083;Höchsten/Holzen/Syburg;;
51.503741758, 7.4873708048;1554;Kriechtunnel;Naturnahe Elemente /(Kriechtunnel Weidenhäuschen);30;Innenstadt-Ost;080;Westfalendamm;081;Westfalendamm-Nord;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.50370278, 7.4873484722;1556;Kriechtunnel (halbgeschlossen) 2;Naturnahe Elemente /(Kriechtunnel Weidenhäuschen);30;Innenstadt-Ost;080;Westfalendamm;081;Westfalendamm-Nord;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.5067499755, 7.5263562308;1560;Bolzplatztor Ost;Bolzplatztore;3;Brackel;330;Wambel;333;Pferderennbahn;063;Wambel;;
51.4587102028, 7.5237395322;1567;Balanciergerät mit Seil;Balanciergeräte;5;Hörde;540;Holzen;541;Höchsten;083;Höchsten/Holzen/Syburg;;
51.4586744061, 7.5232786039;1572;Tischtennisplatten;Tischtennisplatten;5;Hörde;540;Holzen;541;Höchsten;083;Höchsten/Holzen/Syburg;;
51.5021720865, 7.4440847964;1576;Sitzgelegenheiten;Sitzgelegenheiten;10;Innenstadt-West;010;Westfalenhalle;013;Tremonia;012;Westfalenhalle;;
51.5021617419, 7.4439845129;1577;Sitzgelegenheiten;Sitzgelegenheiten;10;Innenstadt-West;010;Westfalenhalle;013;Tremonia;012;Westfalenhalle;;
51.5021414213, 7.4440471845;1578;Sitzgelegenheiten;Sitzgelegenheiten;10;Innenstadt-West;010;Westfalenhalle;013;Tremonia;012;Westfalenhalle;;
51.5021623023, 7.4440048616;1579;Sitzgelegenheiten;Sitzgelegenheiten;10;Innenstadt-West;010;Westfalenhalle;013;Tremonia;012;Westfalenhalle;;
51.51115865, 7.5264146518;1587;"Drehpunkt ""Fantasie""";Drehteller (Conlastic Schale u. ä. );3;Brackel;330;Wambel;333;Pferderennbahn;063;Wambel;;
51.4831887349, 7.5454094205;1588;Tischtennisplatte;Tischtennisplatten;4;Aplerbeck;420;Berghofen;422;Ostkirchstraße;072;Berghofen;;
51.5367285123, 7.5636720981;1590;Sandaufzug;Sandspielgeräte;3;Brackel;320;Brackel;321;Brackeler Feld;062;Brackel;;
51.5368817591, 7.5635500308;1591;Stehkreisel;Drehteller (Conlastic Schale u. ä. );3;Brackel;320;Brackel;321;Brackeler Feld;062;Brackel;;
51.5357477246, 7.5590444115;1592;Seilkletteranlage;Klettergeräte;3;Brackel;320;Brackel;321;Brackeler Feld;062;Brackel;;
51.5132230869, 7.5102773024;1594;Hängematte;Schaukeln / Nestschaukeln;30;Innenstadt-Ost;070;Kaiserbrunnen;073;Körne;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5052224938, 7.4735868959;1596;Doppelschaukel;Schaukeln / Nestschaukeln;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.5110625745, 7.5265929482;1597;Slackline;Balanciergeräte;3;Brackel;330;Wambel;333;Pferderennbahn;063;Wambel;;
51.5002390611, 7.4634330394;1600;Drehbalancierbalken mit Seilen;Balanciergeräte;30;Innenstadt-Ost;090;Ruhrallee;091;Ruhrallee West;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.5000452463, 7.4637683001;1601;Bank 7;Sitzgelegenheiten;30;Innenstadt-Ost;090;Ruhrallee;091;Ruhrallee West;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
