Name;Straße;Hausnummer;Postleitzahl;Ort;Bemerkung;x;y
OLantis;Am Schloßgarten;15;26122;Oldenburg;Anzahl der AEDs: 4<br/><br/>Die AEDs sind für Externe nur über das Personal und zu den Betriebsöffnungszeiten zu erreichen.<br/><br/>Standorte:<br/>OLantis Erste-Hilfe Raum<br/>OLantis Saunawelt<br/>OLantis Freibad Erste-Hilfe Container<br/>OLantis Reha-Raum;447069,471;5887122,357
LzO-Filiale Berliner Platz;Berliner Platz;1;26123;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;448230,3861;5888704,543
Rose 12 - Fachstelle für Sucht und Suchtprävention;Alexanderstraße;17;26121;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.;447421,7146;5889158,893
LzO-Filiale Schlossplatz;Schlossplatz;8;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;447541,5857;5887947,264
LzO-Filiale Julius-Mosen-Platz;Julius-Mosen-Platz;4;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;447104,3255;5888279,023
LzO-Filiale Lange Straße;Lange Straße;11;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;447401,9524;5888394,788
LzO-Filiale Eversten;Hauptstraße;27;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;446428,7014;5887385,365
LzO-Filiale Bloherfelde;Bloherfelder Straße;129;26129;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;444621,8731;5888290,393
LzO-Filiale Haarentor;Ofener Straße;38;26123;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;446175,2519;5888469,607
LzO-Filiale Kreyenbrück;Cloppenburgerstraße;304;26133;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;447100,276;5884941,426
LzO-Filiale Bümmerstede;Bümmersteder Tredde;41;26133;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;447567,8032;5882943,73
LzO-Filiale Osternburg;Bremer Straße;21;26135;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;447980,1058;5887240,326
LzO-Filiale Krusenbusch ;Tweelbäker Tredde;2;26135;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;449314,9268;5883435,608
LzO-Filiale Ofenerdiek;Ofenerdieker Straße;2;26125;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;446718,4675;5893216,373
LzO-Filiale Alexanderstraße;Alexanderstraße;124;26127;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;447154,5765;5889985,445
LzO-Filiale Nadorster Straße;Nadorster Straße;101;26123;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;447748,1755;5889654,854
